V1	V2
RBMX	HPD
RBMX	SNRPA
RBMX	PPP1CC
RBMX	FUS
RBMX	PPP1CB
RBMX	SF3B1
RBMX	FASTKD2
PAIP1	TPD52
PAIP1	PDCD4
PAIP1	RBMX
RMDN3	ATP6V1A
RMDN3	ELAVL1
RMDN3	PTPN1
OAT	AKR1B1
USP9X	RUVBL1
USP9X	ZYX
USP9X	HUWE1
USP9X	SMAD3
USP9X	AFDN
USP9X	SRXN1
TRAM1	ELAVL1
TRAM1	TRAM1
DYNC1LI2	DYNC1I2
DYNC1LI2	ELAVL1
FLNC	PIK3R1
FLNC	CRK
FLNC	DYNLRB1
FLNC	FN1
FLNC	EEF1D
FLNC	GRB2
FLNC	DYSF
CNN2	ELAVL1
CNN2	ZYX
CNN2	TPM1
PML	MAPK14
PML	NFKB1
PML	SMAD3
PML	STAT2
PML	PYCARD
PML	LMNA
PML	POLR2E
PML	SQSTM1
PML	PAWR
PDHB	OGDH
PDHB	EIF5
PDHB	FN1
ABHD10	SQSTM1
ABHD10	ARL3
ABHD10	ABHD10
ABHD10	ELAVL1
OSTF1	ELAVL1
AHCYL1	AHCYL1
AHCYL1	SRXN1
AHCYL1	ZYX
AHCYL1	CDC37
AHCYL1	ELAVL1
AHCYL1	USP9X
AHCYL1	TAGLN2
AHCYL1	PPM1G
AHCYL1	ATP6V1B2
AHCYL1	TRIP6
FAF2	CAV1
FAF2	ARL6IP1
FAF2	ELAVL1
FAF2	LPCAT1
FAF2	ACADSB
FAF2	STOM
FAF2	SERPINH1
FAF2	MTHFD1
FAF2	TRAM1
FAF2	OAT
FAF2	OXA1L
FAF2	ELAVL1
FAF2	HUWE1
FAF2	S100A10
FAF2	ACTN1
RPLP2	MRPL12
RPLP2	RPL38
RPLP2	YWHAZ
RPLP2	IKBKG
RPLP2	GRB2
RPLP2	RPL23A
RPLP2	RPL30
RPLP2	MAP3K14
RPLP2	FN1
RPL36	WDR12
RPL36	RPL23A
RPL36	GRB2
RPL36	QARS
RPL36	PTBP1
RPL36	FN1
RPL36	RPL38
RPL36	RPL34
RPL36	RPL30
RPL36	RPS5
RPL36	RPLP2
GM2A	L2HGDH
GM2A	ELAVL1
GM2A	GM2A
GNE	ELAVL1
PNN	YWHAZ
PNN	DYNC1I2
RBM39	DDX21
RBM39	SDCBP
RBM39	GOLGA2
RBM39	FLNA
RBM39	SF3B1
RBM39	DDX3X
RBM39	HSPB1
RBM39	SNRNP70
RBM39	ILF3
RBM39	PNN
PTPN1	STOM
PTPN1	CAPN2
PTPN1	CDH1
PTPN1	CAV1
PTPN1	MARCKSL1
PTPN1	CRK
GOLIM4	GOLIM4
GOLIM4	PTPN1
C4BPA	FN1
C4BPA	APCS
ATP6V1B2	RUVBL1
ATP6V1B2	SRXN1
ATP6V1B2	NAPA
ATP6V1B2	ATP6V1A
ATP6V1B2	ZYX
ATP6V1B2	HDLBP
ATP6V1B2	PTPN1
ATP6V1B2	RPRD1B
ATP6V1B2	FN1
ENDOG	DKC1
KRT7	COG3
KRT7	GRB2
CCAR2	AIMP2
CCAR2	RUVBL2
TMBIM6	CERS2
BCL2L1	PPP1CC
BCL2L1	CAPN1
BCL2L1	DYNLRB1
BCL2L1	PDS5A
BCL2L1	TMBIM6
SMAD3	SQSTM1
SMAD3	MAPK14
SMAD3	SERPINE1
SMAD3	CRK
GALK2	LTA4H
GALK2	GALM
NSFL1C	CAPN2
NSFL1C	UBA5
PTMA	PTMA
PTMA	ELAVL1
PTMA	CAPN2
PTMA	NSFL1C
IFIT5	ELAVL1
RPRD1B	HUWE1
RPRD1B	PPP1R7
MAPK14	HMOX1
MAPK14	SQSTM1
MAPK14	HMOX1
PPM1G	APEH
PPM1G	LMNA
PPM1G	MAPK14
DDX3X	PPP1CB
DDX3X	ELAVL1
DDX3X	CRK
DDX3X	DDX3X
DDX3X	PPP1CC
DDX3X	SMAD3
NUDT21	SF3B1
NUDT21	GOLGA2
NUDT21	EXOSC6
NUDT21	DBN1
NUDT21	VIM
NUDT21	SNRNP70
NUDT21	HUWE1
NUDT21	FUS
NUDT21	DLD
NUDT21	LMAN1
NUDT21	FN1
CARM1	NFKB1
CARM1	ELAVL1
CARM1	CACYBP
CARM1	NUDT21
CARM1	ELAVL1
MYLK	HSPB1
MYLK	PPP1CB
MYLK	MYH9
MYLK	GOPC
MYLK	MYO18A
LPP	ALAD
LPP	LASP1
LPP	RDX
LPP	ACTN1
LPP	RPRD1B
LPP	VASP
PTBP1	SNRPA
PTBP1	AIMP2
PTBP1	ELAVL1
PTBP1	FUS
PTBP1	PDHB
PTBP1	HSPB1
PTBP1	FAS
PTBP1	FN1
PTBP1	PCBP2
PTBP1	GRB2
HNRNPL	FN1
HNRNPL	PCBP2
HNRNPL	FUS
HNRNPL	DFFA
HNRNPL	PTBP1
GOT1	NME2
GOT1	HPRT1
GOT1	GPT2
GOT1	SRXN1
GOT1	CCS
GOT1	OAT
GOT1	CBR1
GOT1	PHGDH
GNB1	ATXN10
GNB1	GNG5
GNB1	ELAVL1
ATP6V1A	MARCKSL1
ATP6V1A	ELAVL1
ATP6V1A	STOM
APEH	UBA5
APEH	H1FX
PSAT1	AHCYL1
PSAT1	PHGDH
PSAT1	HPRT1
PSAT1	HSPB1
PSAT1	RAC1
EEF1D	SQSTM1
EEF1A2	RPL30
EEF1A2	EEF1D
DYSF	ANXA1
ANXA2	CTSB
ANXA2	MYH9
ANXA2	CACYBP
ANXA2	S100A6
ANXA2	FN1
ANXA2	AHNAK
ANXA2	GRB2
ANXA2	YWHAZ
ANXA2	S100A10
ANXA2	IQGAP1
ANXA2	PDCD6
ANXA2	FLNA
ANXA2	DYSF
PDCD4	ELAVL1
PDCD4	PDCD4
PDCD4	TPD52
PDCD4	NAP1L1
BTF3	PDCD4
SGTA	HSPA8
SGTA	TMPO
SGTA	NME3
PAWR	SQSTM1
PAWR	PPM1G
PAWR	IDE
PAWR	MYH9
PAWR	APEH
PAWR	VIM
RPL34	RPL38
RPL34	DDX56
RPL34	EBNA1BP2
RPL34	CDK5
RPL34	RPL30
OPTN	EIF4G2
OPTN	NDUFAF2
OPTN	DYSF
OPTN	SDCBP
OPTN	TFRC
OPTN	STX12
OPTN	GNAS
OPTN	YWHAZ
OPTN	SQSTM1
CACYBP	FN1
CACYBP	TAGLN2
CACYBP	AARS
OXA1L	ABCC2
DKC1	DDX21
DKC1	RUVBL1
RRAS2	PAWR
RRAS2	PIK3R1
RRAS2	LGALS4
RRAS2	PTPN1
RRAS2	AFDN
RRAS2	SMAD3
NSUN2	PUS1
PPP1R12A	IQGAP1
PPP1R12A	MYH9
PPP1R12A	MYO18A
PPP1R12A	PPP1CB
PPP1R12A	CRK
PPP1R12A	DBN1
PPP1R12A	PUS1
PPP1R12A	FLNA
PPP1R12A	YWHAZ
PPP1R12A	GRB2
PPP1R12A	RPRD1B
PPP1R12A	SETD7
PPP1R12A	PPP1R12A
PPP1R12A	NSUN2
DYNLT1	DYNC1I2
DYNLT1	DYNC1LI2
DYNLT1	SDCBP
DYNLT1	MAPRE2
ACTN1	IQGAP1
ACTN1	TPM4
ACTN1	ZYX
ACTN1	CALD1
ACTN1	HSPB1
ACTN1	GRB2
ACTN1	PTPN1
ACTN1	MYH9
ACTN1	TPM1
ACTN1	CDH1
ACTN1	PPP1CB
ACTN1	DBN1
ACTN1	DYNLT1
FUS	GRB2
FUS	MTHFD1
FUS	ALDOA
FUS	GOLIM4
FUS	LMNA
FUS	HSPA8
FUS	RBBP4
FUS	GOT2
FUS	SQSTM1
FUS	OAT
FUS	DLD
FUS	PHGDH
SRSF2	PTMA
SRSF2	RUVBL1
